Name,Purpose,Cost Per Item (USD),Quantity,Total (USD),Link,Distributor
"E-Post Delivery","Delivery for the JLCPCB",1.50,1,1.50,"https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006","JLCPCB"
"Tokopedia Total Delivery Cost","Delivering the components",5.35,1,5.35,"https://www.tokopedia.com/cart/checkout?t_id=1773817552452&t_st=10&t_pp=cart&t_efo=cart&t_ef=goods_search&t_sm=&t_spt=cart","Tokopedia"
"PCB Printing 5x","For holding all the components together",4.00,1,4.00,"https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006","JLCPCB"
"Capacitor 0.01uF 5x","Temporary stores electrical energy",0.07,1,0.07,"https://www.tokopedia.com/parts-shop/10nf-50v-monolithic-multilayer-ceramic-capacitor-103-001uf-kapasitor?extParam=src%3Dshop%26whid%3D13238&aff_unique_id=&channel=others&chain_key=","Tokopedia"
"Capacitor 1uF","temporary stores electrical energy",0.02,1,0.02,"https://www.tokopedia.com/parts-shop/elko-elco-1uf-50v-electrolytic-capacitor-kapasitor?extParam=ivf%3Dfalse%26keyword%3Dcapacitor+1uf%26search_id%3D2026031807451963923F49E5241331CAKN%26src%3Dsearch&t_id=1773817552452&t_st=19&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"CD4017","The integrated circuit",0.43,1,0.43,"https://www.tokopedia.com/indo-ware/4017-cd4017-cd4017bm-cd-4017b-m-decade-counter-divider-ic-dip-16?extParam=ivf%3Dfalse%26keyword%3Dcd4017%26search_id%3D202603180742138D3BBA7425E7C93002JC%26src%3Dsearch&t_id=1773817552452&t_st=18&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"Battery CR2032","Power supply",0.65,1,0.65,"https://www.tokopedia.com/panasonic-battery-indonesia/panasonic-baterai-kancing-lithium-coin-cr2016-cr2025-cr2032-cr2032-1pc?extParam=ivf%3Dfalse%26keyword%3Dcr2032%26search_id%3D2026031807390034ED066DF378EF018OFE%26src%3Dsearch&t_id=1773817552452&t_st=17&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"Battery Socket CR2032 5x","For the battery placement",0.27,1,0.27,"https://www.tokopedia.com/iwantelectronics/soket-baterai-3v-tempat-holder-case-baterai-kancing-3v-cr2032-battery-socket-cr2032-socket-battery-3v-cr2032-socket-2pin-1731585016507762682?extParam=ivf%3Dfalse%26keyword%3Dbattery+socket%26search_id%3D202603180736434734BA6F3DE83D30E57W%26src%3Dsearch&t_id=1773817552452&t_st=15&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"50k Variable Resistor 15x","To regulate the blinking patter",1.33,1,1.33,"https://www.tokopedia.com/innovtronic/3296w-high-quality-precission-multiturn-variable-resistor-trimmer-vr-100-ohm-200-ohm-500-ohm-1k-2k-5k-10k-20k-50k-100k-200k-500k-1m-2m2-1730689932923470996?extParam=ivf%3Dfalse%26keyword%3Dvariable+resistor%26search_id%3D202603180728048D3BBA7425E7C9094A52%26src%3Dsearch&t_id=1773817552452&t_st=8&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"470 ohm Resistor 10x","Regulating the current",0.12,1,0.12,"https://www.tokopedia.com/indo-ware/r-resistor-470-ohm-14-watt-5-paket-10-pcs?extParam=ivf%3Dfalse%26keyword%3Dresistor+470%26search_id%3D2026031807261634ED066DF378EF085CSI%26src%3Dsearch&t_id=1773817552452&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"slide switch ","To make sure the battery is not overused. regulating power",0.10,1,0.10,"https://www.tokopedia.com/indo-ware/3-pin-saklar-geser-mini-toggle-switch-slide-1p2t-3pin-ss12d00-g3?extParam=ivf%3Dfalse%26keyword%3Dslide+switch%26search_id%3D20260318072230DB8E1AF0CB3ACA30DJ17%26src%3Dsearch&t_id=1773817552452&t_st=6&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"
"Header male pin strip","The test point",0.03,1,0.03,"https://www.tokopedia.com/cncstorejogja/pin-header-male-strip-single-row-1x40-2-54mm-black-hitam-1729811654300566528?extParam=src%3Dshop%26whid%3D325343&aff_unique_id=&channel=others&chain_key=","Tokopedia"
"1k Resistor 10x","limiting current, regulating the blink",0.06,1,0.06,"https://www.tokopedia.com/cncstorejogja/cnc-10x-resistor-1k-1kohm-14w-1-metal-film-1?extParam=src%3Dshop%26whid%3D325343&aff_unique_id=&channel=others&chain_key=","Tokopedia"
"5X LED White","mini lamp",0.09,2,0.18,"https://www.tokopedia.com/cncstorejogja/5x-led-5mm-clear-nyala-super-bright-white-putih?extParam=src%3Dshop%26whid%3D325343&aff_unique_id=&channel=others&chain_key=","Tokopedia"
"NE555P","Clock timer oscillator",0.04,1,0.04,"https://www.tokopedia.com/cncstorejogja/ne555-dip-8-ne555p-555-clock-timer-oscillator-ic-1729811659598169088?extParam=ivf%3Dfalse%26keyword%3Dne555p%26search_id%3D202603180705338E98D81F8217303057AN%26src%3Dsearch&t_id=1773817552452&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Tokopedia"